Experiment,Model,Accuracy,Precision,Recall,F1_Score
10shot_50aug_standard_rotate,resnet50,33.24,34.85,33.24,32.88
10shot_50aug_standard_rotate,efficientnetb4,62.26,66.67,62.26,62.52
10shot_50aug_standard_rotate,xception,59.18,65.17,59.18,60.11
10shot_50aug_advanced_mixed,resnet50,36.30,39.85,36.30,35.90
10shot_50aug_advanced_mixed,efficientnetb4,60.57,61.71,60.57,60.56
10shot_50aug_advanced_mixed,xception,60.58,65.15,60.58,60.92
10shot_50aug_standard_flip,resnet50,32.03,34.12,32.03,32.23
10shot_50aug_standard_flip,efficientnetb4,58.52,65.19,58.52,59.11
10shot_50aug_standard_flip,xception,59.46,66.04,59.46,59.86
10shot_50aug_standard_noise,resnet50,32.62,35.53,32.62,32.19
10shot_50aug_standard_noise,efficientnetb4,52.62,62.26,52.62,52.07
10shot_50aug_standard_noise,xception,50.88,60.51,50.88,52.57
10shot_50aug_standard_blur,resnet50,31.78,32.63,31.78,29.94
10shot_50aug_standard_blur,efficientnetb4,56.47,58.16,56.47,56.73
10shot_50aug_standard_blur,xception,52.39,54.33,52.39,51.59
10shot_50aug_standard_brightness,resnet50,34.43,36.32,34.43,34.14
10shot_50aug_standard_brightness,efficientnetb4,56.37,64.13,56.37,57.06
10shot_50aug_standard_brightness,xception,57.38,63.60,57.38,58.07
