Experiment,Model,Accuracy,Precision,Recall,F1_Score
standard_rotate,resnet50,33.24,34.85,33.24,32.88
standard_rotate,efficientnetb4,62.26,66.67,62.26,62.52
standard_rotate,xception,59.18,65.17,59.18,60.11
advanced_mixed,resnet50,36.30,39.85,36.30,35.90
advanced_mixed,efficientnetb4,55.11,61.88,55.11,55.60
advanced_mixed,xception,53.12,60.88,53.12,53.58
standard_flip,resnet50,32.03,34.12,32.03,32.23
standard_flip,efficientnetb4,58.52,65.19,58.52,59.11
standard_flip,xception,59.46,66.04,59.46,59.86
standard_noise,resnet50,32.62,35.53,32.62,32.19
standard_noise,efficientnetb4,52.62,62.26,52.62,52.07
standard_noise,xception,50.88,60.51,50.88,52.57
standard_blur,resnet50,31.78,32.63,31.78,29.94
standard_blur,efficientnetb4,56.47,58.16,56.47,56.73
standard_blur,xception,52.39,54.33,52.39,51.59
standard_brightness,resnet50,34.43,36.32,34.43,34.14
standard_brightness,efficientnetb4,56.37,64.13,56.37,57.06
standard_brightness,xception,57.38,63.60,57.38,58.07
