Experiment,Model,L_Value,Accuracy,Precision,Recall,F1_Score
10shot_50aug_standard_rotate,efficientnetb4,0,55.30,61.03,55.30,55.65
10shot_50aug_standard_rotate,efficientnetb4,5,57.12,61.69,57.12,57.40
10shot_50aug_standard_rotate,efficientnetb4,15,60.29,64.17,60.29,60.53
10shot_50aug_standard_rotate,efficientnetb4,30,61.69,65.20,61.69,61.79
10shot_50aug_standard_rotate,efficientnetb4,50,61.48,65.26,61.48,61.66
10shot_50aug_standard_mixed,efficientnetb4,0,55.47,61.70,55.47,55.89
10shot_50aug_standard_mixed,efficientnetb4,5,56.03,59.99,56.03,56.30
10shot_50aug_standard_mixed,efficientnetb4,15,58.00,62.32,58.00,58.06
10shot_50aug_standard_mixed,efficientnetb4,30,59.51,63.74,59.51,59.84
10shot_50aug_standard_mixed,efficientnetb4,50,59.82,64.26,59.82,60.44
10shot_50aug_advanced_mixed,efficientnetb4,0,54.71,61.14,54.71,54.86
10shot_50aug_advanced_mixed,efficientnetb4,5,54.89,60.47,54.89,55.17
10shot_50aug_advanced_mixed,efficientnetb4,15,59.07,64.47,59.07,59.37
10shot_50aug_advanced_mixed,efficientnetb4,30,59.39,64.31,59.39,59.84
10shot_50aug_advanced_mixed,efficientnetb4,50,60.73,64.81,60.73,61.21
