K_Value,Model,Accuracy,Precision,Recall,F1_Score
5,efficientnetb4_raw_pretrained,80.74,82.45,80.74,80.78
10,efficientnetb4_raw_pretrained,82.71,84.07,82.71,82.80
15,efficientnetb4_raw_pretrained,84.50,85.52,84.50,84.57
20,efficientnetb4_raw_pretrained,84.62,85.51,84.62,84.69
30,efficientnetb4_raw_pretrained,85.34,86.25,85.34,85.44
40,efficientnetb4_raw_pretrained,86.68,87.38,86.68,86.77
50,efficientnetb4_raw_pretrained,86.48,87.14,86.48,86.57
5,xception_raw_pretrained,59.99,62.36,59.99,59.66
10,xception_raw_pretrained,62.80,63.54,62.80,62.84
15,xception_raw_pretrained,63.29,64.38,63.29,63.43
20,xception_raw_pretrained,64.24,65.05,64.24,64.27
30,xception_raw_pretrained,64.34,66.40,64.34,64.53
40,xception_raw_pretrained,65.47,67.08,65.47,65.60
50,xception_raw_pretrained,64.82,66.29,64.82,64.99
